Local time,Open,High,Low,Close,Volume
03.01.2022 06:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 06:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 06:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 07:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 07:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 07:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 07:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 08:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 08:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 08:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 08:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 09:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 09:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 09:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 09:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 10:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 10:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 10:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 10:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 11:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 11:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 11:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 11:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 12:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 12:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 12:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 12:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 13:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 13:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 13:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 13:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 14:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 14:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 14:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 14:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 15:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 15:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 15:30:00.000 GMT+0100,177.826,180.827,177.696,180.557,45.254999999999995
03.01.2022 15:45:00.000 GMT+0100,180.586,180.907,179.387,180.427,50.82
03.01.2022 16:00:00.000 GMT+0100,180.447,181.397,180.247,181.216,46.34250000000001
03.01.2022 16:15:00.000 GMT+0100,181.216,181.236,180.486,180.826,38.1675
03.01.2022 16:30:00.000 GMT+0100,180.836,181.196,180.557,180.767,34.13999999999999
03.01.2022 16:45:00.000 GMT+0100,180.747,181.227,180.747,180.936,30.292500000000004
03.01.2022 17:00:00.000 GMT+0100,180.946,180.977,180.387,180.797,29.16
03.01.2022 17:15:00.000 GMT+0100,180.806,181.757,180.696,181.737,26.19000000000001
03.01.2022 17:30:00.000 GMT+0100,181.756,181.756,181.126,181.477,27.1425
03.01.2022 17:45:00.000 GMT+0100,181.467,181.757,181.336,181.467,26.002499999999998
03.01.2022 18:00:00.000 GMT+0100,181.457,181.496,181.056,181.277,23.985000000000003
03.01.2022 18:15:00.000 GMT+0100,181.286,181.687,181.267,181.586,17.812500000000004
03.01.2022 18:30:00.000 GMT+0100,181.577,182.147,181.476,182.016,15.81
